State Patient Number,Date Announced,Age Bracket,Gender,,Detected District,Detected State,State Code,Num Cases,Current Status,Contracted from which Patient (Suspected),Notes,Source_1,Source_2,Source_3,Nationality,Type of transmission,Status Change Date,Patient Number
,31/10/2021,,,,Chandigarh,Chandigarh,CH,-2,Recovered,,Reconciled,,,,,,,
,31/10/2021,,,,Chandigarh,Chandigarh,CH,2,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Changlang,Arunachal Pradesh,AR,-2,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,Changlang,Arunachal Pradesh,AR,2,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,East Siang,Arunachal Pradesh,AR,-1,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,East Siang,Arunachal Pradesh,AR,1,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,Lower Dibang Valley,Arunachal Pradesh,AR,3,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,Lower Subansiri,Arunachal Pradesh,AR,-1,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,Lower Subansiri,Arunachal Pradesh,AR,1,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,Namsai,Arunachal Pradesh,AR,-1,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,Namsai,Arunachal Pradesh,AR,1,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,Papum Pare,Arunachal Pradesh,AR,-1,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,Papum Pare,Arunachal Pradesh,AR,1,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,Tawang,Arunachal Pradesh,AR,-11,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,Tawang,Arunachal Pradesh,AR,11,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,Tirap,Arunachal Pradesh,AR,-1,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,Tirap,Arunachal Pradesh,AR,1,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,West Siang,Arunachal Pradesh,AR,-1,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,West Siang,Arunachal Pradesh,AR,1,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,East Siang,Arunachal Pradesh,AR,-5,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Lohit,Arunachal Pradesh,AR,-1,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Lohit,Arunachal Pradesh,AR,1,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Lower Dibang Valley,Arunachal Pradesh,AR,-16,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Lower Dibang Valley,Arunachal Pradesh,AR,1,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Namsai,Arunachal Pradesh,AR,-2,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Namsai,Arunachal Pradesh,AR,2,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Tawang,Arunachal Pradesh,AR,-2,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Tawang,Arunachal Pradesh,AR,2,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,West Siang,Arunachal Pradesh,AR,5,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Lower Dibang Valley,Arunachal Pradesh,AR,-11,Deceased,,Reconciled,,,,,,,
,01/11/2021,,,,,Assam,AS,335,Recovered,,Reconciled,,,,,,,
,01/11/2021,,,,Baksa,Assam,AS,5,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Barpeta,Assam,AS,22,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Biswanath,Assam,AS,4,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Cachar,Assam,AS,3,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Darrang,Assam,AS,10,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Dhemaji,Assam,AS,4,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Dibrugarh,Assam,AS,11,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Goalpara,Assam,AS,8,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Golaghat,Assam,AS,5,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Hailakandi,Assam,AS,1,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Hojai,Assam,AS,4,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Jorhat,Assam,AS,20,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Kamrup,Assam,AS,27,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Kamrup Metropolitan,Assam,AS,116,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Karbi Anglong,Assam,AS,1,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Kokrajhar,Assam,AS,2,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Lakhimpur,Assam,AS,10,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Nagaon,Assam,AS,13,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Nalbari,Assam,AS,8,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Sivasagar,Assam,AS,8,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Sonitpur,Assam,AS,12,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Tinsukia,Assam,AS,1,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Udalguri,Assam,AS,1,Hospitalized,,Reconciled,,,,,,,
,01/11/2021,,,,Darrang,Assam,AS,1,Deceased,,Reconciled,,,,,,,
,01/11/2021,,,,Dibrugarh,Assam,AS,2,Deceased,,Reconciled,,,,,,,
,01/11/2021,,,,Nalbari,Assam,AS,1,Deceased,,Reconciled,,,,,,,
,01/11/2021,,,,Sonitpur,Assam,AS,3,Deceased,,Reconciled,,,,,,,
