State Patient Number,Date Announced,Age Bracket,Gender,,Detected District,Detected State,State Code,Num Cases,Current Status,Contracted from which Patient (Suspected),Notes,Source_1,Source_2,Source_3,Nationality,Type of transmission,Status Change Date,Patient Number
,10/10/2021,,,,East Khasi Hills,Meghalaya,ML,34,Hospitalized,,,,,,,,,
,10/10/2021,,,,Ribhoi,Meghalaya,ML,6,Hospitalized,,,,,,,,,
,10/10/2021,,,,West Jaintia Hills,Meghalaya,ML,10,Hospitalized,,,,,,,,,
,10/10/2021,,,,West Khasi Hills,Meghalaya,ML,8,Hospitalized,,,,,,,,,
,10/10/2021,,,,North Garo Hills,Meghalaya,ML,1,Hospitalized,,,,,,,,,
,10/10/2021,,,,East Khasi Hills,Meghalaya,ML,61,Recovered,,,,,,,,,
,10/10/2021,,,,Ribhoi,Meghalaya,ML,5,Recovered,,,,,,,,,
,10/10/2021,,,,West Jaintia Hills,Meghalaya,ML,17,Recovered,,,,,,,,,
,10/10/2021,,,,West Khasi Hills,Meghalaya,ML,40,Recovered,,,,,,,,,
,10/10/2021,,,,South West Khasi Hills,Meghalaya,ML,1,Recovered,,,,,,,,,
,10/10/2021,,,,South West Garo Hills,Meghalaya,ML,1,Recovered,,,,,,,,,
,10/10/2021,,,,East Khasi Hills,Meghalaya,ML,2,Deceased,,,,,,,,,
,10/10/2021,,,,West Khasi Hills,Meghalaya,ML,2,Deceased,,,,,,,,,
,10/10/2021,,,,Angul,Odisha,OR,1,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
,10/10/2021,,,,Balasore,Odisha,OR,19,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
,10/10/2021,,,,Bargarh,Odisha,OR,3,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
,10/10/2021,,,,Bhadrak,Odisha,OR,7,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
,10/10/2021,,,,Balangir,Odisha,OR,3,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
,10/10/2021,,,,Cuttack,Odisha,OR,70,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
,10/10/2021,,,,Deogarh,Odisha,OR,1,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
,10/10/2021,,,,Dhenkanal,Odisha,OR,1,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
,10/10/2021,,,,Gajapati,Odisha,OR,6,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
,10/10/2021,,,,Ganjam,Odisha,OR,6,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
,10/10/2021,,,,Jagatsinghpur,Odisha,OR,15,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
,10/10/2021,,,,Jajpur,Odisha,OR,10,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
,10/10/2021,,,,Jharsuguda,Odisha,OR,1,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
,10/10/2021,,,,Kendrapara,Odisha,OR,26,Hospitalized,,,https://twitter.com/IPR_Odisha/status/1447050483399417857,,,,,,
